Symbol,Company Name,Market Cap,% Change,Volume,Revenue
ROIV,Roivant Sciences Ltd.,7.89B,1.31%,4303651,129.13M
RVMD,"Revolution Medicines, Inc.",7.82B,0.43%,765813,742.00K
JAZZ,Jazz Pharmaceuticals plc,7.35B,-0.28%,410734,3.99B
ASND,Ascendis Pharma A/S,7.31B,-2.27%,354939,365.19M
HALO,"Halozyme Therapeutics, Inc.",7.22B,0.87%,669218,947.36M
BPMC,Blueprint Medicines Corporation,7.20B,1.70%,699902,434.42M
WAY,Waystar Holding Corp.,7.07B,1.94%,775254,906.14M
MDGL,"Madrigal Pharmaceuticals, Inc.",7.04B,-0.76%,499060,76.81M
CORT,Corcept Therapeutics Incorporated,7.01B,0.54%,655005,628.56M
LEGN,Legend Biotech Corporation,6.94B,1.42%,1683875,520.18M
LNTH,"Lantheus Holdings, Inc.",6.38B,2.52%,656405,1.50B
MMSI,"Merit Medical Systems, Inc.",6.29B,0.69%,412981,1.33B
BBIO,"BridgeBio Pharma, Inc.",6.23B,6.28%,2867515,217.77M
BLCO,Bausch + Lomb Corporation,6.16B,0.29%,316719,4.68B
STVN,Stevanato Group S.p.A.,6.15B,1.62%,260026,1.22B
TLX,Telix Pharmaceuticals Limited,6.14B,2.66%,16758,430.80M
NUVL,"Nuvalent, Inc.",6.10B,1.26%,374773,-
INSP,"Inspire Medical Systems, Inc.",5.91B,2.83%,568558,755.59M
GH,"Guardant Health, Inc.",5.83B,-0.84%,1331991,692.26M
CYTK,"Cytokinetics, Incorporated",5.81B,1.52%,1296493,3.22M
ELAN,Elanco Animal Health Incorporated,5.69B,-1.79%,4708951,4.45B
AXSM,"Axsome Therapeutics, Inc.",5.47B,5.11%,772296,338.46M
GRFS,"Grifols, S.A.",5.27B,3.02%,642379,7.81B
OPCH,"Option Care Health, Inc.",5.26B,0.70%,938099,4.78B
ALKS,Alkermes plc,5.06B,1.76%,1092314,1.51B
IONS,"Ionis Pharmaceuticals, Inc.",5.00B,-1.53%,1637894,803.07M
RDNT,"RadNet, Inc.",4.97B,0.83%,469298,1.77B
VRNA,Verona Pharma plc,4.90B,1.63%,1216470,5.62M
TGTX,"TG Therapeutics, Inc.",4.72B,4.54%,1606018,264.79M
NARI,"Inari Medical, Inc.",4.69B,0.29%,1581159,574.50M
ITGR,Integer Holdings Corporation,4.68B,0.84%,198590,1.71B
KRYS,"Krystal Biotech, Inc.",4.64B,1.43%,176359,241.52M
AKRO,"Akero Therapeutics, Inc.",4.30B,4.75%,1244219,-
ACHC,"Acadia Healthcare Company, Inc.",4.19B,0.58%,724268,3.12B
BTSG,"BrightSpring Health Services, Inc.",4.09B,-0.93%,942102,10.59B
RARE,Ultragenyx Pharmaceutical Inc.,4.08B,1.75%,481346,522.75M
ADMA,"ADMA Biologics, Inc.",3.99B,2.61%,2267654,382.81M
RNA,"Avidity Biosciences, Inc.",3.98B,4.32%,1346984,10.12M
BHVN,Biohaven Ltd.,3.98B,4.24%,595150,-
ICUI,"ICU Medical, Inc.",3.94B,1.45%,160149,2.34B
SHC,Sotera Health Company,3.91B,0.73%,694109,1.12B
PRCT,PROCEPT BioRobotics Corporation,3.87B,0.48%,617859,199.84M
OGN,Organon & Co.,3.85B,0.20%,2432522,6.41B
XRAY,DENTSPLY SIRONA Inc.,3.83B,-0.31%,2094049,3.90B
PTCT,"PTC Therapeutics, Inc.",3.81B,-1.26%,648880,900.66M
OSCR,"Oscar Health, Inc.",3.77B,-8.78%,8222141,9.18B
ALVO,Alvotech,3.75B,0.48%,87847,393.92M
SRRK,Scholar Rock Holding Corporation,3.75B,-0.06%,550718,-
CRNX,"Crinetics Pharmaceuticals, Inc.",3.75B,4.15%,672367,1.04M
PBH,Prestige Consumer Healthcare Inc.,3.75B,0.65%,384790,1.11B
RYTM,"Rhythm Pharmaceuticals, Inc.",3.68B,0.91%,385258,112.53M
ACLX,"Arcellx, Inc.",3.66B,4.57%,544138,155.82M
VKTX,"Viking Therapeutics, Inc.",3.61B,2.70%,6046567,-
APLS,"Apellis Pharmaceuticals, Inc.",3.58B,1.02%,1005385,715.22M
IMVT,"Immunovant, Inc.",3.55B,0.53%,1084150,-
IRTC,"iRhythm Technologies, Inc.",3.47B,1.81%,350682,560.03M
NVST,Envista Holdings Corporation,3.46B,0.55%,2041854,2.50B
HAE,Haemonetics Corporation,3.46B,4.19%,842389,1.36B
CRSP,CRISPR Therapeutics AG,3.46B,1.23%,1501745,202.83M
PRGO,Perrigo Company plc,3.42B,-,1183518,4.39B
VCYT,"Veracyte, Inc.",3.39B,-2.91%,747218,425.33M
DNLI,Denali Therapeutics Inc.,3.31B,5.27%,848845,-
SGRY,"Surgery Partners, Inc.",3.25B,1.58%,842164,2.99B
WRBY,Warby Parker Inc.,3.23B,-1.65%,1238913,742.53M
ACAD,ACADIA Pharmaceuticals Inc.,3.12B,1.19%,877441,929.24M
TWST,Twist Bioscience Corporation,3.10B,-1.38%,825841,330.19M
LFST,"LifeStance Health Group, Inc.",3.08B,0.12%,475221,1.21B
XENE,Xenon Pharmaceuticals Inc.,3.05B,1.09%,324060,-
AMED,"Amedisys, Inc.",3.03B,0.48%,155370,2.32B
RXRX,"Recursion Pharmaceuticals, Inc.",3.00B,4.97%,15277472,65.18M
CON,"Concentra Group Holdings Parent, Inc.",2.99B,1.25%,1463162,1.88B
ALHC,"Alignment Healthcare, Inc.",2.96B,0.59%,1820970,2.47B
VCEL,Vericel Corporation,2.93B,0.63%,285404,226.84M
FOLD,"Amicus Therapeutics, Inc.",2.92B,1.24%,1246905,493.67M
ZLAB,Zai Lab Limited,2.92B,-2.23%,823354,355.75M
MTSR,"Metsera, Inc.",2.89B,0.76%,608404,-
QDEL,QuidelOrtho Corporation,2.87B,0.49%,672369,2.82B
SWTX,"SpringWorks Therapeutics, Inc.",2.86B,7.20%,2338482,135.49M
EWTX,"Edgewise Therapeutics, Inc.",2.79B,4.61%,768828,-
MLTX,MoonLake Immunotherapeutics,2.78B,1.05%,239730,-
PRVA,"Privia Health Group, Inc.",2.78B,1.18%,465865,1.72B
MRUS,Merus N.V.,2.78B,2.42%,286826,35.93M
CPRX,"Catalyst Pharmaceuticals, Inc.",2.75B,2.08%,817143,460.48M
PDCO,"Patterson Companies, Inc.",2.74B,0.06%,592334,6.55B
BHC,Bausch Health Companies Inc.,2.67B,-0.27%,825696,9.47B
LIVN,LivaNova PLC,2.62B,0.40%,251460,1.24B
SEM,Select Medical Holdings Corporation,2.60B,0.05%,530955,6.97B
NVCR,NovoCure Limited,2.56B,-0.34%,930426,577.74M
KYMR,"Kymera Therapeutics, Inc.",2.51B,0.62%,333934,87.56M
AMRX,"Amneal Pharmaceuticals, Inc.",2.48B,-2.32%,1646117,2.68B
ARWR,"Arrowhead Pharmaceuticals, Inc.",2.46B,5.02%,1030507,3.55M
TMDX,"TransMedics Group, Inc.",2.42B,4.92%,1755849,401.09M
VERA,"Vera Therapeutics, Inc.",2.41B,4.19%,397282,-
MIRM,"Mirum Pharmaceuticals, Inc.",2.41B,3.33%,402354,307.03M
MESO,Mesoblast Limited,2.40B,1.69%,238229,5.90M
JANX,"Janux Therapeutics, Inc.",2.38B,-1.81%,1475189,13.05M
AZTA,"Azenta, Inc.",2.37B,-0.23%,797526,662.11M
TNDM,"Tandem Diabetes Care, Inc.",2.36B,-1.13%,535953,854.35M
IBRX,"ImmunityBio, Inc.",2.33B,-0.31%,2622206,7.33M
HCM,HUTCHMED (China) Limited,2.32B,2.35%,28325,610.81M
NEOG,Neogen Corporation,2.31B,-2.74%,2416562,913.83M
APGE,"Apogee Therapeutics, Inc.",2.30B,0.27%,254591,-
CGON,"CG Oncology, Inc.",2.28B,2.01%,301299,684.00K
NAMS,NewAmsterdam Pharma Company N.V.,2.26B,-1.12%,576508,33.59M
CNMD,CONMED Corporation,2.25B,2.35%,521085,1.29B
CLOV,"Clover Health Investments, Corp.",2.24B,3.71%,7196412,2.12B
PTGX,"Protagonist Therapeutics, Inc.",2.24B,1.02%,466692,323.80M
CERT,"Certara, Inc.",2.23B,-0.86%,1235852,372.80M
PACS,"PACS Group, Inc.",2.22B,-,370024,3.56B
HRMY,"Harmony Biosciences Holdings, Inc.",2.22B,0.72%,408522,681.88M
LGND,Ligand Pharmaceuticals Incorporated,2.22B,2.18%,41021,152.42M
SUPN,"Supernus Pharmaceuticals, Inc.",2.21B,7.07%,663208,651.97M
ADUS,Addus HomeCare Corporation,2.21B,-1.65%,117386,1.13B
LMAT,"LeMaitre Vascular, Inc.",2.19B,2.13%,137314,213.03M
ARDT,"Ardent Health Partners, Inc.",2.17B,0.60%,215632,5.71B
CNTA,Centessa Pharmaceuticals plc,2.16B,-2.90%,461087,6.85M
UFPT,"UFP Technologies, Inc.",2.15B,3.29%,59811,461.85M
SLNO,"Soleno Therapeutics, Inc.",2.15B,2.60%,298911,-
IDYA,"IDEAYA Biosciences, Inc.",2.08B,1.99%,532852,3.92M
TARS,"Tarsus Pharmaceuticals, Inc.",2.08B,0.66%,292053,129.62M
BEAM,Beam Therapeutics Inc.,2.05B,0.63%,651155,349.64M
OMCL,"Omnicell, Inc.",2.03B,0.99%,250528,1.06B
IART,Integra LifeSciences Holdings Corporation,2.01B,0.19%,455934,1.56B
PGNY,"Progyny, Inc.",2.00B,-0.64%,1046973,1.14B
ATRC,"AtriCure, Inc.",1.98B,2.39%,444029,447.57M
WGS,GeneDx Holdings Corp.,1.98B,2.92%,1049358,267.23M
AGIO,"Agios Pharmaceuticals, Inc.",1.94B,1.18%,518837,32.87M
GDRX,"GoodRx Holdings, Inc.",1.85B,2.55%,855302,790.39M
PINC,"Premier, Inc.",1.84B,-14.69%,3841776,1.29B
TVTX,"Travere Therapeutics, Inc.",1.84B,4.35%,897115,203.45M
IRON,"Disc Medicine, Inc.",1.83B,-1.22%,220379,-
ASTH,"Astrana Health, Inc.",1.82B,1.96%,211183,1.72B
SDGR,"Schrödinger, Inc.",1.82B,0.85%,687625,193.35M
BLTE,"Belite Bio, Inc",1.79B,0.59%,16940,-
NEO,"NeoGenomics, Inc.",1.79B,0.50%,770309,644.12M
WVE,Wave Life Sciences Ltd.,1.79B,-1.01%,675953,53.61M
TDOC,"Teladoc Health, Inc.",1.79B,3.48%,2996954,2.59B
IOVA,"Iovance Biotherapeutics, Inc.",1.77B,3.01%,5366869,90.86M
GERN,Geron Corporation,1.76B,2.11%,11280323,29.48M
TXG,"10x Genomics, Inc.",1.74B,-0.28%,1961820,629.74M
ATEC,"Alphatec Holdings, Inc.",1.72B,5.93%,1524499,572.74M
GPCR,Structure Therapeutics Inc.,1.71B,5.64%,523976,-
DVAX,Dynavax Technologies Corporation,1.71B,0.46%,1069045,260.81M
BCRX,"BioCryst Pharmaceuticals, Inc.",1.68B,6.17%,2289100,412.58M
PHR,"Phreesia, Inc.",1.67B,1.92%,314163,405.14M
PRAX,"Praxis Precision Medicines, Inc.",1.61B,4.02%,330942,1.61M
AMPH,"Amphastar Pharmaceuticals, Inc.",1.60B,-0.60%,424080,723.55M
AAPG,Ascentage Pharma Group International,1.58B,3.74%,387104,124.27M
VRDN,"Viridian Therapeutics, Inc.",1.57B,2.85%,619500,302.00K
NHC,National HealthCare Corporation,1.57B,0.65%,31156,1.22B
MNKD,MannKind Corporation,1.54B,0.36%,2314779,267.20M
IMCR,Immunocore Holdings plc,1.54B,-1.32%,75999,296.31M
EVO,Evotec SE,1.54B,0.93%,29011,866.67M
CLDX,"Celldex Therapeutics, Inc.",1.54B,-2.11%,801186,9.98M
ARQT,"Arcutis Biotherapeutics, Inc.",1.53B,3.23%,1871369,138.71M
GLPG,Galapagos NV,1.51B,-0.57%,609848,290.09M
DYN,"Dyne Therapeutics, Inc.",1.51B,6.63%,1745738,-
ETNB,"89bio, Inc.",1.50B,15.72%,5733284,-
GRDN,"Guardian Pharmacy Services, Inc.",1.44B,2.61%,58994,1.17B
PLSE,"Pulse Biosciences, Inc.",1.44B,14.84%,197638,-
AGL,"agilon health, inc.",1.43B,2.65%,2200686,5.59B
INDV,Indivior PLC,1.42B,-2.81%,506760,1.18B
FTRE,Fortrea Holdings Inc.,1.42B,0.83%,1316201,2.98B
NRIX,"Nurix Therapeutics, Inc.",1.41B,-1.90%,761221,54.55M
SYRE,"Spyre Therapeutics, Inc.",1.39B,3.49%,635009,-
RXST,"RxSight, Inc.",1.37B,0.89%,316252,128.29M
KNSA,"Kiniksa Pharmaceuticals International, plc",1.35B,-0.74%,285276,384.10M
NVAX,"Novavax, Inc.",1.35B,0.06%,4260271,885.19M
USPH,"U.S. Physical Therapy, Inc.",1.34B,0.51%,49965,639.06M
VIR,"Vir Biotechnology, Inc.",1.34B,-2.86%,1086946,78.62M
AHCO,AdaptHealth Corp.,1.33B,-1.56%,835313,3.26B
ARDX,"Ardelyx, Inc.",1.31B,4.35%,2991931,251.85M
AORT,"Artivion, Inc.",1.30B,1.31%,244686,384.90M
LQDA,Liquidia Corporation,1.28B,5.72%,643006,15.61M
MDXG,"MiMedx Group, Inc.",1.26B,0.12%,350617,342.80M
XNCR,"Xencor, Inc.",1.24B,0.79%,473510,85.16M
ARVN,"Arvinas, Inc.",1.24B,5.56%,1038520,161.10M
CDNA,"CareDx, Inc",1.24B,-0.94%,501249,312.78M
SNDX,"Syndax Pharmaceuticals, Inc.",1.23B,0.49%,1977349,16.00M
OCUL,"Ocular Therapeutix, Inc.",1.23B,3.58%,800767,61.44M
PCRX,"Pacira BioSciences, Inc.",1.23B,3.26%,747468,694.96M
RCUS,"Arcus Biosciences, Inc.",1.23B,1.59%,1408745,263.00M
DAWN,"Day One Biopharmaceuticals, Inc.",1.23B,0.66%,862597,101.95M
WEAV,"Weave Communications, Inc.",1.22B,2.68%,377076,195.84M
BLFS,"BioLife Solutions, Inc.",1.22B,-1.09%,251487,146.96M
INMD,InMode Ltd.,1.22B,4.98%,1792186,394.82M
SPRY,"ARS Pharmaceuticals, Inc.",1.22B,1.71%,1157638,2.57M
MRVI,"Maravai LifeSciences Holdings, Inc.",1.20B,-3.44%,1716251,276.92M
EVH,"Evolent Health, Inc.",1.18B,0.39%,911523,2.46B
MD,"Pediatrix Medical Group, Inc.",1.18B,-0.07%,216999,2.01B
RCKT,"Rocket Pharmaceuticals, Inc.",1.16B,4.92%,804660,-
AUPH,Aurinia Pharmaceuticals Inc.,1.15B,2.56%,786639,220.36M
INVA,"Innoviva, Inc.",1.15B,-0.49%,598267,352.75M
ANIP,"ANI Pharmaceuticals, Inc.",1.14B,1.17%,185138,555.46M
STAA,STAAR Surgical Company,1.14B,-0.68%,321945,341.22M
MYGN,"Myriad Genetics, Inc.",1.13B,-2.82%,899230,823.60M
HROW,"Harrow, Inc.",1.10B,3.35%,329646,169.14M
FNA,"Paragon 28, Inc.",1.09B,-0.08%,3094166,245.00M
ADPT,Adaptive Biotechnologies Corporation,1.09B,-4.29%,1039956,177.28M
REPL,"Replimune Group, Inc.",1.08B,2.19%,400949,-
ELVN,"Enliven Therapeutics, Inc.",1.07B,0.46%,145656,-
EMBC,Embecta Corp.,1.06B,1.78%,318015,1.12B
OPK,"OPKO Health, Inc.",1.05B,4.00%,4249723,711.41M
COGT,"Cogent Biosciences, Inc.",1.02B,2.89%,905192,-
GYRE,"Gyre Therapeutics, Inc.",1.02B,2.68%,38547,105.03M
AMN,"AMN Healthcare Services, Inc.",1.02B,-0.34%,706814,3.07B
HSTM,"HealthStream, Inc.",1.01B,1.65%,70530,287.99M
COLL,"Collegium Pharmaceutical, Inc.",997.50M,-0.87%,356066,599.25M
BBNX,"Beta Bionic, Inc.",985.76M,1.10%,656265,53.03M
ZYME,Zymeworks Inc.,980.82M,-3.13%,354837,62.20M
NTLA,"Intellia Therapeutics, Inc.",979.78M,0.84%,2397558,43.09M
BFLY,"Butterfly Network, Inc.",975.82M,15.66%,11441856,76.22M
PNTG,"The Pennant Group, Inc.",957.98M,4.77%,188021,652.30M
BGM,BGM Group Ltd.,952.78M,-0.71%,26965,-
OCS,Oculis Holding AG,950.89M,-0.83%,52661,1.03M
GRAL,"GRAIL, Inc.",950.23M,-1.94%,800264,117.67M
AVBP,"ArriVent BioPharma, Inc.",950.09M,2.30%,134091,-
ABCL,AbCellera Biologics Inc.,948.13M,4.22%,2245155,32.96M
TLRY,"Tilray Brands, Inc.",937.66M,1.01%,37810878,829.22M
PHVS,Pharvaris N.V.,931.18M,0.18%,17163,-
BKDT,Brookdale Senior Living Inc.,924.35M,-0.42%,50096,2.95B
BKD,Brookdale Senior Living Inc.,924.35M,1.09%,2734059,2.95B
AVAH,Aveanna Healthcare Holdings Inc.,919.75M,3.03%,81106,1.98B
IMNM,"Immunome, Inc.",906.03M,7.36%,1600880,10.13M
PAHC,Phibro Animal Health Corporation,891.89M,1.54%,84992,1.05B
BCYC,Bicycle Therapeutics plc,890.00M,1.82%,235044,36.90M
ESTA,Establishment Labs Holdings Inc.,860.23M,2.62%,514738,153.07M
GHRS,GH Research PLC,848.84M,-9.31%,1580023,-
OPT,Opthea Limited,847.39M,0.76%,5221,261.86K
CBLL,"CeriBell, Inc.",823.24M,-0.82%,167838,60.04M
EOLS,"Evolus, Inc.",823.18M,0.15%,832468,248.33M
NUVB,Nuvation Bio Inc.,811.13M,6.17%,1293903,2.16M
HCSG,"Healthcare Services Group, Inc.",809.13M,0.09%,475751,1.70B
CVAC,CureVac N.V.,805.29M,1.13%,571646,70.57M
CDMO,"Avid Bioservices, Inc.",798.90M,0.08%,3067678,150.45M
DH,Definitive Healthcare Corp.,797.82M,8.42%,761546,255.85M
AXGN,"Axogen, Inc.",795.67M,0.89%,359087,180.86M
CSTL,"Castle Biosciences, Inc.",788.41M,-2.09%,395203,311.88M
AVDL,Avadel Pharmaceuticals plc,788.24M,2.63%,1052614,138.16M
PRTA,Prothena Corporation plc,779.69M,7.81%,484445,133.35M
IRMD,IRADIMED CORPORATION,775.99M,3.17%,54640,71.31M
QURE,uniQure N.V.,775.50M,1.02%,655358,28.59M
RLAY,"Relay Therapeutics, Inc.",774.98M,3.58%,703747,10.01M
ORIC,"ORIC Pharmaceuticals, Inc.",758.59M,5.91%,1607273,-
DNA,"Ginkgo Bioworks Holdings, Inc.",758.54M,11.21%,1484693,217.95M
AVXL,Anavex Life Sciences Corp.,752.31M,2.66%,920763,-
SIBN,"SI-BONE, Inc.",751.53M,5.29%,325073,157.04M
AVNS,"Avanos Medical, Inc.",750.57M,3.82%,364601,681.50M
BVS,Bioventus Inc.,718.39M,4.67%,177149,555.06M
TYRA,"Tyra Biosciences, Inc.",718.03M,-1.44%,218037,-
OFIX,Orthofix Medical Inc.,716.90M,3.08%,188286,784.25M
LENZ,"LENZ Therapeutics, Inc.",714.47M,2.40%,55399,-
SLP,"Simulations Plus, Inc.",713.28M,3.95%,229336,74.44M
CRON,Cronos Group Inc.,712.96M,1.62%,1531600,111.23M
TECX,"Tectonic Therapeutic, Inc.",708.28M,-5.14%,406231,-
SANA,"Sana Biotechnology, Inc.",707.76M,3.59%,2012038,-
OMI,"Owens & Minor, Inc.",704.78M,-0.98%,3193833,10.66B
CTKB,"Cytek Biosciences, Inc.",698.15M,0.56%,871965,201.21M
PLRX,"Pliant Therapeutics, Inc.",691.91M,1.70%,310243,-
KURA,"Kura Oncology, Inc.",691.32M,7.76%,3185951,-
CAPR,"Capricor Therapeutics, Inc.",685.23M,-0.72%,552619,23.23M
VERV,"Verve Therapeutics, Inc.",682.39M,7.18%,1443015,24.40M
STOK,"Stoke Therapeutics, Inc.",667.38M,9.38%,1114536,16.74M
BCAX,Bicara Therapeutics Inc.,666.05M,-0.49%,173726,-
