KullaniciID,Cinsiyet,Yas,TahminiMaas,IngilizceBilme
15631912,0,,85000,1
15768816,1,26.0,81000,1
15682268,1,35.0,50000,1
15684801,1,,81000,1
15636428,0,30.0,116000,1
15809823,1,26.0,15000,1
15699284,0,29.0,28000,1
15786993,0,29.0,83000,1
15709441,0,35.0,44000,1
15710257,0,35.0,25000,1
15582492,1,28.0,123000,1
15575694,1,35.0,73000,1
15756820,0,28.0,37000,1
15766289,1,27.0,88000,1
15593014,1,28.0,59000,1
15584545,0,32.0,86000,1
15675949,0,33.0,149000,1
15672091,0,19.0,21000,0
15801658,1,21.0,72000,1
15706185,0,26.0,35000,1
15789863,1,27.0,89000,1
15720943,1,26.0,86000,1
15697997,0,,80000,1
15665416,0,39.0,71000,1
15660200,0,37.0,71000,1
15619653,1,38.0,61000,1
15773447,1,37.0,55000,1
15739160,1,42.0,80000,2
15689237,1,40.0,57000,1
15679297,1,35.0,75000,1
15591433,1,36.0,52000,1
15642725,1,40.0,59000,1
15701962,1,41.0,59000,2
15811613,0,36.0,75000,1
15741049,1,37.0,72000,1
15724423,0,40.0,75000,1
15574305,1,35.0,53000,1
15678168,0,41.0,51000,2
15697020,0,39.0,61000,1
15610801,1,42.0,65000,2
15745232,1,26.0,32000,1
15722758,1,30.0,17000,1
15792102,0,26.0,84000,1
15675185,1,31.0,58000,1
15801247,1,33.0,31000,1
15725660,1,30.0,87000,1
15638963,0,21.0,68000,1
15800061,0,28.0,55000,1
15578006,1,23.0,63000,1
15668504,0,20.0,82000,0
15687491,1,30.0,107000,1
15610403,0,28.0,59000,1
15741094,1,19.0,25000,0
15807909,1,19.0,85000,0
15666141,0,18.0,68000,0
15617134,1,35.0,59000,1
15783029,1,30.0,89000,1
15622833,0,34.0,25000,1
15746422,0,24.0,89000,1
15750839,0,27.0,96000,1
15749130,0,41.0,30000,2
15779862,1,29.0,61000,1
15767871,1,20.0,74000,0
15679651,0,26.0,15000,1
15576219,1,41.0,45000,2
15699247,1,31.0,76000,1
15619087,0,36.0,50000,1
15605327,1,40.0,47000,1
15610140,0,31.0,15000,1
15791174,1,46.0,59000,2
15602373,1,,75000,1
15762605,1,26.0,30000,1
15598840,0,32.0,135000,1
15744279,1,32.0,100000,1
15670619,1,25.0,90000,1
15599533,0,37.0,33000,1
15757837,1,35.0,38000,1
15697574,0,33.0,69000,1
15578738,0,18.0,86000,0
15762228,0,22.0,55000,1
15614827,0,35.0,71000,1
15789815,1,29.0,148000,1
15579781,0,29.0,47000,1
15587013,1,21.0,88000,1
15570932,1,34.0,115000,1
15794661,0,26.0,118000,1
15581654,0,34.0,43000,1
15644296,0,34.0,72000,1
15614420,0,23.0,28000,1
15609653,0,35.0,47000,1
15594577,1,,22000,1
15584114,1,24.0,23000,1
15673367,0,31.0,34000,1
15685576,1,,16000,1
15774727,0,31.0,71000,1
15694288,0,32.0,117000,1
15603319,1,33.0,43000,1
15759066,0,33.0,60000,1
15814816,1,31.0,66000,1
15724402,0,20.0,82000,0
15571059,0,33.0,41000,1
15674206,1,35.0,72000,1
15715160,1,28.0,32000,1
15730448,1,24.0,84000,1
15662067,0,19.0,26000,0
15779581,1,29.0,43000,1
15662901,1,19.0,70000,0
15689751,1,28.0,89000,1
15667742,1,34.0,43000,1
15738448,0,30.0,79000,1
15680243,0,20.0,36000,0
15745083,1,26.0,80000,1
15708228,1,35.0,22000,1
15628523,1,35.0,39000,1
15708196,1,49.0,74000,2
15735549,0,39.0,134000,1
15809347,0,41.0,71000,2
15660866,0,58.0,101000,2
15766609,0,47.0,47000,2
15654230,0,55.0,130000,2
15794566,0,52.0,114000,2
15800890,0,40.0,142000,1
15697424,0,46.0,22000,2
15724536,0,48.0,96000,2
15735878,1,52.0,150000,2
15707596,0,59.0,42000,2
15657163,1,35.0,58000,1
15622478,1,47.0,43000,2
15779529,0,60.0,108000,2
15636023,1,49.0,65000,2
15582066,1,40.0,78000,1
15666675,0,46.0,96000,2
15732987,1,59.0,143000,2
15789432,0,41.0,80000,2
15663161,1,35.0,91000,1
15694879,1,37.0,144000,1
15593715,1,60.0,102000,2
15575002,0,,60000,1
15622171,1,37.0,53000,1
15795224,0,36.0,126000,1
15685346,1,,133000,2
15691808,0,40.0,72000,1
15721007,0,42.0,80000,2
15794253,0,35.0,147000,1
15694453,1,39.0,42000,1
15813113,1,40.0,107000,1
15614187,1,49.0,86000,2
15619407,0,38.0,112000,1
15646227,1,46.0,79000,2
15660541,1,40.0,57000,1
15753874,0,37.0,80000,1
15617877,0,46.0,82000,2
15772073,0,53.0,143000,2
15701537,1,42.0,149000,2
15736228,1,38.0,59000,1
15780572,0,50.0,88000,2
15769596,0,56.0,104000,2
15586996,0,41.0,72000,2
15722061,0,51.0,146000,2
15638003,0,35.0,50000,1
15775590,0,57.0,122000,2
15730688,1,41.0,52000,2
15753102,0,35.0,97000,1
15810075,0,44.0,39000,2
15723373,1,37.0,52000,1
15795298,0,48.0,134000,2
15584320,0,,146000,1
15724161,0,50.0,44000,2
15750056,0,52.0,90000,2
15609637,0,41.0,72000,2
15794493,1,40.0,57000,1
15569641,0,58.0,95000,2
15815236,0,45.0,131000,2
15811177,0,35.0,77000,1
15680587,1,36.0,144000,1
15672821,0,55.0,125000,2
15767681,0,35.0,72000,1
15600379,1,48.0,90000,2
15801336,0,42.0,108000,2
15721592,1,40.0,75000,1
15581282,1,37.0,74000,1
15746203,0,47.0,144000,2
15583137,1,40.0,61000,1
15680752,0,43.0,133000,2
15688172,0,59.0,76000,2
15791373,1,60.0,42000,2
15589449,1,39.0,106000,1
15692819,0,57.0,26000,2
15727467,1,57.0,74000,2
15734312,1,,71000,1
15764604,1,49.0,88000,2
15613014,0,52.0,38000,2
15759684,0,50.0,36000,2
15609669,0,59.0,88000,2
15685536,1,35.0,61000,1
15750447,1,37.0,70000,1
15663249,0,52.0,21000,2
15638646,1,48.0,141000,2
15734161,0,37.0,93000,1
15631070,0,37.0,62000,1
15761950,0,48.0,138000,2
15649668,1,41.0,79000,2
15713912,0,37.0,78000,1
15586757,1,39.0,134000,1
15596522,1,49.0,89000,2
15625395,1,55.0,39000,2
15760570,1,37.0,77000,1
15566689,0,35.0,57000,1
15725794,0,36.0,63000,1
15673539,1,42.0,73000,2
15705298,0,43.0,112000,2
15675791,1,45.0,79000,2
15747043,1,46.0,117000,2
15736397,0,58.0,38000,2
15678201,1,48.0,74000,2
15720745,0,37.0,137000,1
15637593,1,37.0,79000,1
15598070,0,40.0,60000,1
15787550,1,42.0,54000,2
15603942,0,51.0,134000,2
15733973,0,47.0,113000,2
15596761,1,36.0,125000,1
15652400,0,38.0,50000,1
15717893,0,42.0,70000,2
15622585,1,39.0,96000,1
15733964,0,38.0,50000,1
15753861,0,49.0,141000,2
15747097,0,,79000,1
15594762,0,39.0,75000,1
15667417,0,54.0,104000,2
15684861,1,35.0,55000,1
15742204,1,45.0,32000,2
15623502,1,36.0,60000,1
15774872,0,52.0,138000,2
15611191,0,53.0,82000,2
15674331,1,41.0,52000,2
15619465,0,,30000,2
15575247,0,48.0,131000,2
15695679,0,41.0,60000,2
15713463,1,41.0,72000,2
15785170,0,,75000,2
15796351,1,36.0,118000,1
15639576,0,47.0,107000,2
15693264,1,38.0,51000,1
15589715,0,48.0,119000,2
15769902,1,42.0,65000,2
15587177,1,40.0,65000,1
15814553,1,57.0,60000,2
15601550,0,36.0,54000,1
15664907,1,58.0,144000,2
15612465,1,35.0,79000,1
15810800,0,38.0,55000,1
15665760,1,39.0,122000,1
15588080,0,53.0,104000,2
15776844,1,35.0,75000,1
15717560,0,38.0,65000,1
15629739,0,47.0,51000,2
15729908,1,47.0,105000,2
15716781,0,41.0,63000,2
15646936,1,53.0,72000,2
15768151,0,54.0,108000,2
15579212,1,39.0,77000,1
15721835,1,38.0,61000,1
15800515,0,38.0,113000,1
15591279,1,37.0,75000,1
15587419,0,,90000,2
15750335,0,37.0,57000,1
15699619,1,36.0,99000,1
15606472,1,60.0,34000,2
15778368,1,54.0,70000,2
15671387,0,,72000,2
15573926,1,40.0,71000,1
15709183,1,42.0,54000,2
15577514,1,43.0,129000,2
15778830,0,53.0,34000,2
15768072,0,47.0,50000,2
15768293,0,42.0,79000,2
15654456,1,42.0,104000,2
15807525,0,59.0,29000,2
15574372,0,58.0,47000,2
15671249,1,46.0,88000,2
15779744,1,38.0,71000,1
15624755,0,,26000,2
15611430,0,60.0,46000,2
15774744,1,60.0,83000,2
15629885,0,39.0,73000,1
15708791,1,59.0,130000,2
15793890,0,37.0,80000,1
15646091,0,46.0,32000,2
15596984,0,46.0,74000,2
15800215,0,42.0,53000,2
15577806,1,41.0,87000,2
15749381,0,58.0,23000,2
15683758,1,42.0,64000,2
15670615,1,48.0,33000,2
15715622,0,,139000,2
15707634,1,49.0,28000,2
15806901,0,57.0,33000,2
15775335,1,56.0,60000,2
15724150,0,49.0,39000,2
15627220,1,39.0,71000,1
15672330,1,47.0,34000,2
15668521,0,48.0,35000,2
15807837,1,48.0,33000,2
15592570,1,47.0,23000,2
15748589,0,45.0,45000,2
15635893,1,60.0,42000,2
15757632,0,39.0,59000,1
15691863,0,46.0,41000,2
15706071,1,51.0,23000,2
15654296,0,,20000,2
15755018,1,36.0,33000,1
15594041,0,49.0,36000,2
4507086589175,1,62.0,101352,2
3584108665405,0,43.0,57810,2
2202196823631,1,34.0,67567,1
3904261774724,0,70.0,34159,2
3192190639415,1,34.0,54793,1
8475797181297,1,61.0,74809,2
3439831642914,0,52.0,92054,2
9880556891767,0,,92863,1
5839759014835,0,38.0,75289,1
9433838314923,1,55.0,54561,2
2353896599220,0,57.0,118220,2
1499082039809,0,28.0,40172,1
7776327734784,0,22.0,52548,1
6560384214038,1,50.0,109096,2
3697108539899,1,64.0,21884,2
2711705982056,1,62.0,47540,2
4510762861001,0,58.0,32124,2
1508232781908,0,18.0,37068,0
7103966636017,1,55.0,118884,2
9589766275931,0,34.0,80050,1
2642000865315,1,58.0,81578,2
9775011338219,0,65.0,108604,2
4023920500081,0,48.0,23975,2
9192966342820,0,32.0,76513,1
5438358708930,0,69.0,55405,2
5570702970910,0,49.0,86865,2
4284465424420,1,63.0,61495,2
9607082838029,1,59.0,89041,2
9855525645043,1,42.0,99002,2
2462320199656,1,61.0,44868,2
3021426847233,1,48.0,93064,2
3614097953014,1,42.0,107418,2
4214439752823,1,31.0,67263,1
5055744127102,0,52.0,80619,2
7106933591847,0,48.0,80420,2
9556716396462,0,62.0,66269,2
9075032382822,1,59.0,23261,2
5302908839594,1,17.0,92896,0
8023391008713,0,,45448,2
2319340099610,1,61.0,112081,2
3027891831573,1,61.0,94045,2
1785264394741,1,65.0,73658,2
5601725794610,1,20.0,112536,0
5702593926330,1,70.0,105215,2
7720047091254,0,34.0,13263,1
3042911946501,1,15.0,50396,0
3132358461426,1,16.0,59043,0
1702824149801,0,,42055,2
1997629579670,1,38.0,97470,1
5595566468226,1,,97713,2
4822822709168,1,45.0,31007,2
2858196743253,1,,93183,1
7096701079943,1,37.0,113274,1
2540942163213,1,,111217,2
5535792858348,0,19.0,86772,0
7297803869016,0,56.0,93374,2
3162932762375,1,68.0,38893,2
9095428358207,0,34.0,46931,1
5560608511793,1,62.0,87564,2
8939492112347,0,53.0,103272,2
1991624276661,1,,76508,2
9858759093236,0,61.0,93178,2
5025449783507,0,70.0,47132,2
4461493466883,0,46.0,50862,2
4881550974660,0,43.0,109232,2
9523562926499,1,32.0,29957,1
8766759209770,0,61.0,51831,2
2507764810358,0,52.0,58395,2
2313412378142,1,39.0,24997,1
3479695656267,1,17.0,62783,0
4174466469100,1,67.0,114474,2
4139270061663,0,48.0,47867,2
1756179124421,0,63.0,30762,2
5885024290060,1,62.0,21442,2
7241708391209,1,54.0,26793,2
2874055667563,1,70.0,119095,2
4377604859656,1,64.0,97868,2
5424549823121,0,48.0,32699,2
7103123740479,0,54.0,85329,2
3201863543764,0,,102044,2
2742633438506,1,,114801,1
6468235137706,1,46.0,49016,2
4555415377996,1,64.0,119627,2
3326006259786,1,39.0,46039,1
3403003251566,1,63.0,92605,2
8113275164053,1,50.0,46554,2
3259172706203,0,47.0,75161,2
1880295541270,1,58.0,30841,2
8064254310237,1,70.0,94045,2
6601492889100,0,69.0,117632,2
6236640654350,0,52.0,95299,2
1077549082141,1,28.0,51161,1
5606531189511,1,26.0,10377,1
2216206572194,0,66.0,21867,2
8630561343788,0,69.0,58596,2
1320462144620,0,70.0,99594,2
3534206084166,1,48.0,61959,2
2183271651057,0,51.0,100495,2
4570571842954,1,34.0,118875,1
4771613646876,0,20.0,14326,0
8571901468203,0,25.0,67638,1
5750362940084,1,27.0,32195,1
1129642713713,0,38.0,86979,1
9311726680632,0,54.0,13772,2
7125944776486,0,54.0,104715,2
9869126021831,0,31.0,23416,1
1103995495830,0,49.0,110243,2
2216614611539,0,,57189,2
8167847608881,1,18.0,115626,0
9082680188370,1,60.0,21830,2
5490388092894,0,34.0,99250,1
8703649243572,1,46.0,25304,2
8101079117810,0,18.0,23367,0
6160958495329,0,17.0,45161,0
6308114990180,0,68.0,68413,2
3255515755466,1,43.0,73482,2
6528825615028,1,62.0,29992,2
2265289454913,1,32.0,15744,1
4064889088350,1,22.0,35871,1
6113021538054,0,34.0,60775,1
5164913122752,1,49.0,54065,2
6017040132168,1,60.0,78406,2
8631590776496,1,58.0,34323,2
3209306559223,0,30.0,20782,1
7971164436422,0,40.0,116451,1
4436292781563,0,54.0,73240,2
1138598974412,0,61.0,80105,2
7420517624134,1,48.0,41942,2
6764199303301,1,15.0,24435,0
4299336091905,0,62.0,92077,2
3083030860391,0,41.0,50855,2
1985701890987,0,34.0,40907,1
7490070566954,1,53.0,26836,2
9165307064177,1,30.0,55640,1
5389171716339,0,40.0,109637,1
5298290234032,0,70.0,56677,2
2088173045069,1,,94230,2
8931188058922,0,21.0,105030,1
7357435326960,0,15.0,16109,0
1617632463024,1,47.0,84647,2
3256363840827,0,54.0,83027,2
1332799977717,1,58.0,44736,2
4588835743092,1,22.0,83645,1
9026256321472,1,30.0,47661,1
6698533160630,1,22.0,103214,1
1124152787534,0,66.0,42322,2
1180244210353,0,57.0,72888,2
8746766693227,1,66.0,12923,2
5738047352359,0,59.0,12781,2
9574461631638,0,45.0,26541,2
2010248249204,0,24.0,40178,1
8480892922873,0,48.0,25494,2
5163090671413,0,16.0,98282,0
8401439576322,1,43.0,59676,2
4044531589821,0,43.0,20200,2
3192685685566,0,46.0,86548,2
5737201700039,0,26.0,111560,1
6071853924056,0,60.0,31926,2
3135061809812,1,21.0,96962,1
6377685282279,0,33.0,60310,1
5169284089124,1,33.0,21814,1
1547248745265,1,47.0,10468,2
8574761967732,0,63.0,61806,2
8568057177860,0,61.0,74397,2
5189073683974,1,52.0,105394,2
8467051277746,0,52.0,106380,2
7530892576471,0,67.0,37240,2
3552587686794,1,46.0,84797,2
2577409018912,0,50.0,63054,2
4818018256956,0,24.0,54620,1
3097547473190,0,51.0,108737,2
9760634471844,1,15.0,38521,0
6694392354088,0,,76982,2
7389082413292,0,42.0,119381,2
9502857593595,1,52.0,69960,2
2191203149262,1,27.0,41553,1
9948415040472,1,26.0,52181,1
3771086007063,0,,61527,1
7988952744514,0,32.0,69507,1
4659607513430,1,36.0,46921,1
4456772012182,0,67.0,53063,2
3953573885569,0,34.0,45354,1
1006513378026,1,,82688,0
1897752131830,1,42.0,71261,2
8564508007435,1,56.0,72266,2
2371329233380,0,70.0,25858,2
6267375144970,1,55.0,32169,2
8194440001546,1,69.0,29320,2
9578710877908,0,50.0,95555,2
4018280739073,1,37.0,119248,1
4113505959850,1,30.0,21103,1
1456302504349,1,33.0,104620,1
9855798321126,1,17.0,109398,0
1858959634627,0,51.0,30078,2
2838627935530,1,65.0,55704,2
1468585533436,0,25.0,98965,1
6983887455244,1,54.0,71300,2
5964256486513,0,30.0,93495,1
7100580701027,0,38.0,26668,1
2163508025271,1,15.0,11613,0
8733658031235,0,36.0,118342,1
2805821312934,0,63.0,82657,2
4238925982085,1,32.0,29671,1
4181248850666,0,24.0,89000,1
1740982528901,1,39.0,88697,1
2890294884761,1,21.0,53050,1
1858156587187,1,67.0,53858,2
7118398165899,1,17.0,36553,0
7215991735418,1,53.0,77217,2
3052324466984,1,70.0,117939,2
6031173250411,0,53.0,35690,2
3713560551412,1,65.0,59476,2
7241369415824,0,21.0,58694,1
4002436520311,1,41.0,50705,2
5106929521553,1,38.0,53656,1
5269113062396,0,40.0,105148,1
9028452685469,0,61.0,96942,2
3964937544643,1,41.0,81294,2
9744818442849,0,32.0,25298,1
5025252480256,1,62.0,25629,2
9194984605404,0,25.0,37145,1
1458923657438,1,51.0,28506,2
1129262567605,0,32.0,49880,1
1141714570847,0,19.0,68674,0
5223595651387,0,59.0,104515,2
6704727282161,1,61.0,116284,2
5054419953657,1,41.0,76069,2
2238397721696,1,43.0,102821,2
9720257031787,0,63.0,50229,2
9079946109191,1,21.0,34342,1
7688956609564,1,43.0,106325,2
4543745038296,1,69.0,68878,2
7509481360365,1,56.0,97148,2
7113820894553,1,52.0,33646,2
6148295905883,1,42.0,69899,2
7113311303660,1,42.0,27386,2
8452704076853,1,,90917,1
1038603249071,1,48.0,116671,2
9911704822225,1,40.0,57520,1
6110376972615,1,,34442,2
8277467808279,0,42.0,29315,2
5726266833170,1,17.0,115023,0
9757627438195,0,22.0,43856,1
1291394605455,0,16.0,91545,0
2135260939944,0,69.0,80084,2
2870038539939,0,28.0,63330,1
3160318297092,0,36.0,86227,1
2818367025369,0,53.0,91834,2
5371783856694,1,27.0,30065,1
5527170456310,0,69.0,66121,2
6092695563395,0,69.0,70779,2
3363185227321,1,17.0,74578,0
4236579421141,1,35.0,55738,1
2507589387649,1,43.0,10668,2
3909375828352,1,35.0,10423,1
2521344140426,1,16.0,36756,0
7214201105835,1,39.0,74460,1
8412136826250,0,29.0,82199,1
3538040707853,0,,110187,0
8968585259410,1,67.0,47751,2
6388811070690,1,30.0,48406,1
8283290461834,1,54.0,63007,2
4488605628827,0,,92548,1
4067776749217,1,38.0,29076,1
8536690092548,0,58.0,20194,2
7286987232974,0,49.0,51651,2
9070983342588,0,28.0,10992,1
5759252393036,1,50.0,68975,2
5716184850228,1,38.0,76573,1
1209577016208,1,29.0,109443,1
8684995020571,0,24.0,72012,1
6726278601420,1,65.0,83187,2
8143363060107,1,51.0,35899,2
6293319561083,1,60.0,90911,2
1198460938288,1,39.0,104800,1
8581338460872,1,31.0,89847,1
9075191846676,1,63.0,71042,2
6534666280881,0,21.0,117189,1
1211567809882,0,20.0,62567,0
7626932968978,0,18.0,41457,0
7706689559599,0,69.0,17040,2
4789610086901,1,58.0,24705,2
5539927145879,1,33.0,87280,1
4067412874079,1,69.0,10497,2
2155090666481,1,26.0,73655,1
2118980584078,0,36.0,36562,1
6062260835371,1,39.0,58421,1
4621235927502,0,46.0,88323,2
5583330609434,0,26.0,66807,1
7188217606984,1,52.0,64397,2
4160712063856,1,43.0,34564,2
8316534063548,1,,48338,1
1934083049572,1,68.0,17821,2
5784955611039,1,22.0,110147,1
9598761208434,1,20.0,86855,0
9239190875989,1,64.0,78761,2
2171757974741,0,65.0,17362,2
8691588205334,0,52.0,36067,2
4759071392047,0,44.0,91576,2
4849893016929,0,25.0,98175,1
1781191555272,1,45.0,46286,2
4492946110479,1,36.0,69959,1
4035180827961,1,31.0,75391,1
9479200857233,1,51.0,65594,2
4487225409956,0,44.0,85585,2
2505023581617,0,51.0,71520,2
2624329079333,1,27.0,32968,1
5150448606479,0,53.0,92472,2
6313085173007,0,51.0,46377,2
4891012426274,1,54.0,33187,2
5623636786999,0,19.0,27329,0
6402224874937,0,15.0,92390,0
5413649337277,1,16.0,21818,0
1592249868267,1,19.0,24562,0
8684720320121,1,28.0,44361,1
9316394812087,1,36.0,56347,1
3839631258195,0,70.0,54736,2
5293626145450,0,64.0,100912,2
2045749876338,0,,74637,2
3671456823692,1,,70475,2
5608837431088,0,23.0,33439,1
4165633317873,1,70.0,18714,2
6740658115368,0,31.0,110900,1
4841283177707,0,31.0,40776,1
5651637756812,1,36.0,31091,1
5226970721933,0,56.0,68826,2
6660295961227,1,67.0,11633,2
3367364689145,1,,76435,1
6334870886615,0,43.0,75329,2
8116144750164,0,38.0,47912,1
4223940203975,0,54.0,75515,2
3090496308561,1,67.0,93460,2
2316381555239,1,20.0,71292,0
3719889522733,1,,42372,2
2894492569277,1,24.0,38945,1
1137908813690,0,52.0,108777,2
7932496465492,1,28.0,102628,1
9556948930299,0,37.0,68457,1
6102177969617,0,29.0,96854,1
3789624056089,1,59.0,90668,2
1398520829014,0,44.0,52778,2
2283144461587,1,68.0,98783,2
3633619854884,0,64.0,116622,2
2504298998316,1,60.0,25950,2
8727435440914,0,20.0,85808,0
4070694535772,0,20.0,68933,0
5214077123146,0,35.0,98786,1
8624004586230,1,63.0,92568,2
6076827799653,1,,42306,2
9846675894953,1,41.0,27404,2
9804727264410,1,20.0,47808,0
4923457088043,0,69.0,82734,2
7487873411299,1,46.0,100841,2
9129307961039,1,22.0,76273,1
5414328421106,1,19.0,30105,0
9972118296752,0,38.0,71139,1
2852315332864,0,62.0,81663,2
9474260019711,0,22.0,19565,1
8786824729892,1,27.0,13975,1
1349170013671,1,45.0,42612,2
2766525543217,0,26.0,81295,1
7717599241959,0,67.0,64766,2
4878904054429,0,17.0,71723,0
2577393378759,0,55.0,62616,2
7433888936831,1,,71248,1
9657796177924,0,33.0,98542,1
6000471817918,1,23.0,90825,1
1240238736966,0,42.0,85404,2
2221498139406,0,,60647,2
3664033543655,0,46.0,96009,2
4180369351199,1,17.0,92075,0
2933169001767,1,54.0,104916,2
3908228800348,1,23.0,31764,1
5717926826603,0,46.0,67029,2
6484281305970,0,46.0,52627,2
3677811061005,1,27.0,60425,1
6254571873583,1,49.0,80947,2
3586876046125,0,24.0,109685,1
6721184374984,0,37.0,40773,1
9031257527800,1,51.0,42222,2
2010016831619,1,26.0,63529,1
6152051472158,0,69.0,11697,2
1774699716399,1,20.0,70962,0
9673562314420,0,43.0,109552,2
4790847283144,0,36.0,76531,1
5530177401681,1,30.0,74709,1
6884389982875,0,38.0,53037,1
3663572709528,0,21.0,67975,1
5781176041697,1,23.0,60777,1
3157106836495,1,49.0,44944,2
3681353934984,1,34.0,64115,1
1797433495408,1,59.0,92807,2
1448253142928,1,34.0,115879,1
6996036651562,1,44.0,104456,2
9705991308214,0,30.0,90604,1
5797998928770,1,39.0,89378,1
9861934132383,0,24.0,94320,1
7680517441516,1,,52228,1
8188752035987,1,49.0,92807,2
6827242523417,1,63.0,23785,2
